label,backbone,recall,support
AK,resnet50,0.2607260726072607,303
BCC,resnet50,0.5178429817605076,2522
BKL,resnet50,0.5386029411764706,544
DF,resnet50,0.5576923076923077,52
MEL,resnet50,0.3933333333333333,450
NV,resnet50,0.9128686327077749,746
SCC,resnet50,0.15856236786469344,473
VASC,resnet50,0.8723404255319149,47
AK,efficientnet_b0,0.19471947194719472,303
BCC,efficientnet_b0,0.7097541633624108,2522
BKL,efficientnet_b0,0.53125,544
DF,efficientnet_b0,0.5192307692307693,52
MEL,efficientnet_b0,0.3688888888888889,450
NV,efficientnet_b0,0.8780160857908847,746
SCC,efficientnet_b0,0.47357293868921774,473
VASC,efficientnet_b0,0.8723404255319149,47
AK,densenet121,0.09570957095709572,303
BCC,densenet121,0.5444091990483743,2522
BKL,densenet121,0.6084558823529411,544
DF,densenet121,0.6923076923076923,52
MEL,densenet121,0.36,450
NV,densenet121,0.8378016085790885,746
SCC,densenet121,0.386892177589852,473
VASC,densenet121,0.9574468085106383,47
