backbone,stage,stage_order,checkpoint_path,n_images,n_lesions,milk_lesion_macro_auc,milk_lesion_bacc,isic_val_macro_auc,isic_val_bacc,milk_lesion_auc_AK,milk_lesion_auc_BCC,milk_lesion_auc_BKL,milk_lesion_auc_DF,milk_lesion_auc_MEL,milk_lesion_auc_NV,milk_lesion_auc_SCC,milk_lesion_auc_VASC,auc_generalization_gap,bacc_generalization_gap,inference_elapsed_hms,delta_isic_val_bacc_from_prev,delta_milk_lesion_bacc_from_prev,delta_bacc_gap_from_prev,bacc_gap_narrowing_from_prev,delta_isic_val_macro_auc_from_prev,delta_milk_lesion_macro_auc_from_prev,delta_auc_gap_from_prev,auc_gap_narrowing_from_prev
densenet121,baseline,0,/sfs/gpfs/tardis/home/gsr3qz/UVA_MSDS_DS_6050_ML_III_Deep_Learning_Project_Ashby_Colbert_Kuchta_Pugmire/outputs/checkpoints/densenet121_baseline_best.pt,10274,5137,0.7555107495343644,0.2778163735022166,0.9580280047402916,0.7311306336865171,0.6240026981597622,0.7452232969372391,0.6412083285306285,0.7570266999470538,0.7706796576820045,0.8585331438971867,0.6937148923516548,0.9536972787693851,0.2025172552059272,0.4533142601843004,0:43,,,,,,,,
densenet121,phase1_plus_2,1,/sfs/gpfs/tardis/home/gsr3qz/UVA_MSDS_DS_6050_ML_III_Deep_Learning_Project_Ashby_Colbert_Kuchta_Pugmire/outputs/checkpoints/densenet121_phase1_plus_2_best.pt,10274,5137,0.8633308328367333,0.5357383649689692,0.963576233604662,0.7598242873437256,0.6547065546438798,0.8518984750637981,0.768504421690296,0.9400423568565162,0.8970504705687126,0.9491547724659812,0.852011176425792,0.9932784349788906,0.1002454007679287,0.2240859223747564,0:43,0.0286936536572085,0.2579219914667525,-0.229228337809544,0.229228337809544,0.0055482288643704,0.1078200833023689,-0.1022718544379984,0.1022718544379984
densenet121,phase1_plus_2_plus_3,2,/sfs/gpfs/tardis/home/gsr3qz/UVA_MSDS_DS_6050_ML_III_Deep_Learning_Project_Ashby_Colbert_Kuchta_Pugmire/outputs/checkpoints/densenet121_phase1_plus_2_plus_3_best.pt,10274,5137,0.8588323592019165,0.4979698957985104,0.9696207494633086,0.7803866198962675,0.7144210904334124,0.8665055352288011,0.7673581761247935,0.9415891384917934,0.8863793471303605,0.9339320069139716,0.7689549570458263,0.9915186222463738,0.110788390261392,0.282416724097757,0:45,0.0205623325525418,-0.0377684691704587,0.0583308017230005,-0.0583308017230005,0.0060445158586465,-0.0044984736348168,0.0105429894934633,-0.0105429894934633
densenet121,phase1_plus_2_plus_3_plus_4,3,/sfs/gpfs/tardis/home/gsr3qz/UVA_MSDS_DS_6050_ML_III_Deep_Learning_Project_Ashby_Colbert_Kuchta_Pugmire/outputs/checkpoints/densenet121_phase1_plus_2_plus_3_plus_4_best.pt,10274,5137,0.8521722830131757,0.5603778674182103,0.964058736968342,0.8057627502039493,0.6541098462349338,0.8768136005446525,0.7704933418501301,0.9404091974888434,0.8887115662707725,0.9492283448413552,0.7389332714435431,0.9986790954311752,0.1118864539551662,0.245384882785739,0:45,0.0253761303076818,0.0624079716196998,-0.037031841312018,0.037031841312018,-0.0055620124949665,-0.0066600761887407,0.0010980636937741,-0.0010980636937741
efficientnet_b0,baseline,0,/sfs/gpfs/tardis/home/gsr3qz/UVA_MSDS_DS_6050_ML_III_Deep_Learning_Project_Ashby_Colbert_Kuchta_Pugmire/outputs/checkpoints/efficientnet_b0_baseline_best.pt,10274,5137,0.6661770236502786,0.2614441895968405,0.9573325954393932,0.7753905706565523,0.6386131786534052,0.5986956844775535,0.5792954592026228,0.7594054912638984,0.6402057700969584,0.6743998051095251,0.5729436754557421,0.865857124942524,0.2911555717891145,0.5139463810597118,0:43,,,,,,,,
efficientnet_b0,phase1_plus_2,1,/sfs/gpfs/tardis/home/gsr3qz/UVA_MSDS_DS_6050_ML_III_Deep_Learning_Project_Ashby_Colbert_Kuchta_Pugmire/outputs/checkpoints/efficientnet_b0_phase1_plus_2_best.pt,10274,5137,0.87806618806381,0.5621495276692806,0.9715195957948376,0.8145076151046625,0.743289761330291,0.8928738762371059,0.7745786426915638,0.9368655926178048,0.9091657776829528,0.9470419325906084,0.8339020666596557,0.9868118547004974,0.0934534077310276,0.2523580874353819,0:42,0.0391170444481102,0.3007053380724401,-0.2615882936243299,0.2615882936243299,0.0141870003554444,0.2118891644135313,-0.1977021640580869,0.1977021640580869
efficientnet_b0,phase1_plus_2_plus_3,2,/sfs/gpfs/tardis/home/gsr3qz/UVA_MSDS_DS_6050_ML_III_Deep_Learning_Project_Ashby_Colbert_Kuchta_Pugmire/outputs/checkpoints/efficientnet_b0_phase1_plus_2_plus_3_best.pt,10274,5137,0.8673956125848933,0.546435822650152,0.9738589390232596,0.7961637718233937,0.7006729013819877,0.8940418769891874,0.7545001344757367,0.9357461614098784,0.8799236659317734,0.944567641709248,0.8456636954732212,0.9840488233081136,0.1064633264383663,0.2497279491732417,0:42,-0.0183438432812688,-0.0157137050191286,-0.0026301382621402,0.0026301382621402,0.0023393432284219,-0.0106705754789167,0.0130099187073386,-0.0130099187073386
efficientnet_b0,phase1_plus_2_plus_3_plus_4,3,/sfs/gpfs/tardis/home/gsr3qz/UVA_MSDS_DS_6050_ML_III_Deep_Learning_Project_Ashby_Colbert_Kuchta_Pugmire/outputs/checkpoints/efficientnet_b0_phase1_plus_2_plus_3_plus_4_best.pt,10274,5137,0.8799066259048001,0.5684715929301601,0.97234188508115,0.8240132472200102,0.7418130104280598,0.8975128240508382,0.7910515202161857,0.9159745858860904,0.8975582580660454,0.9535501876553492,0.8523180567089379,0.9894745642268946,0.0924352591763499,0.2555416542898501,0:42,0.0278494753966165,0.0220357702800081,0.0058137051166083,-0.0058137051166083,-0.0015170539421095,0.0125110133199067,-0.0140280672620163,0.0140280672620163
resnet50,baseline,0,/sfs/gpfs/tardis/home/gsr3qz/UVA_MSDS_DS_6050_ML_III_Deep_Learning_Project_Ashby_Colbert_Kuchta_Pugmire/outputs/checkpoints/resnet50_baseline_best.pt,10274,5137,0.6618917454830857,0.2636718992806761,0.957866202280508,0.7426294014147343,0.6087606898877723,0.728655290423243,0.5667439902152893,0.7093941456773315,0.6649839982931514,0.5290349868699258,0.6028892076051915,0.8846716548927809,0.2959744567974223,0.4789575021340582,0:45,,,,,,,,
resnet50,phase1_plus_2,1,/sfs/gpfs/tardis/home/gsr3qz/UVA_MSDS_DS_6050_ML_III_Deep_Learning_Project_Ashby_Colbert_Kuchta_Pugmire/outputs/checkpoints/resnet50_phase1_plus_2_best.pt,10274,5137,0.8658192661966795,0.5096605782754907,0.965711441228376,0.7789074565740313,0.7188629495965732,0.8811333686124249,0.7728956948553425,0.9120679222449134,0.882379631605149,0.9528691089438976,0.8196255607251259,0.9867198929900096,0.0998921750316965,0.2692468782985405,0:45,0.0362780551592969,0.2459886789948145,-0.2097106238355176,0.2097106238355176,0.007845238947868,0.2039275207135937,-0.1960822817657257,0.1960822817657257
