,precision,recall,f1-score,support
AK,0.5734265734265734,0.6307692307692307,0.6007326007326007,130.0
BCC,0.7880539499036608,0.8196392785571143,0.8035363457760314,499.0
BKL,0.4591381872213967,0.7842639593908629,0.5791940018744143,394.0
DF,0.5416666666666666,0.7222222222222222,0.6190476190476191,36.0
MEL,0.7218045112781954,0.5663716814159292,0.6347107438016529,678.0
NV,0.9046225863077824,0.8006214396685655,0.8494505494505494,1931.0
SCC,0.47580645161290325,0.6276595744680851,0.5412844036697247,94.0
VASC,0.6538461538461539,0.8947368421052632,0.7555555555555555,38.0
accuracy,0.7497368421052631,0.7497368421052631,0.7497368421052631,0.7497368421052631
macro avg,0.6397956350329166,0.7307855285746592,0.6729389774885185,3800.0
weighted avg,0.7826227511624534,0.7497368421052631,0.757832306843239,3800.0
