,precision,recall,f1-score,support
AK,0.5652173913043478,0.7,0.6254295532646048,130.0
BCC,0.781651376146789,0.8537074148296593,0.8160919540229885,499.0
BKL,0.6454767726161369,0.6700507614213198,0.6575342465753424,394.0
DF,0.5283018867924528,0.7777777777777778,0.6292134831460674,36.0
MEL,0.6426701570680629,0.724188790560472,0.680998613037448,678.0
NV,0.9061957151129125,0.8104609010875194,0.8556588299617277,1931.0
SCC,0.6019417475728155,0.6595744680851063,0.6294416243654822,94.0
VASC,0.8421052631578947,0.8421052631578947,0.8421052631578947,38.0
accuracy,0.7786842105263158,0.7786842105263158,0.7786842105263158,0.7786842105263158
macro avg,0.6891950387214265,0.7547331721149687,0.7170591959414445,3800.0
weighted avg,0.7923778501445065,0.7786842105263158,0.783004652239909,3800.0
