,precision,recall,f1-score,support
AK,0.45248868778280543,0.7692307692307693,0.5698005698005698,130.0
BCC,0.8174442190669371,0.8076152304609219,0.8125,499.0
BKL,0.6507042253521127,0.5862944162436549,0.616822429906542,394.0
DF,0.75,0.5833333333333334,0.65625,36.0
MEL,0.5833333333333334,0.7949852507374632,0.6729088639200999,678.0
NV,0.9165120593692022,0.7674779906784049,0.8354002254791432,1931.0
SCC,0.5121951219512195,0.6702127659574468,0.5806451612903226,94.0
VASC,0.7948717948717948,0.8157894736842105,0.8051948051948052,38.0
accuracy,0.7552631578947369,0.7552631578947369,0.7552631578947369,0.7552631578947369
macro avg,0.6846936802159256,0.7243674037907757,0.6936902569489353,3800.0
weighted avg,0.7878268199540451,0.7552631578947369,0.7633507116721048,3800.0
