backbone,backbone_label,stage,stage_order,stage_label,isic_val_bacc,isic_val_macro_auc,milk_lesion_bacc,milk_lesion_macro_auc,delta_isic_bacc_from_baseline,delta_milk_bacc_from_baseline,generalization_gap_bacc
densenet121,DenseNet-121,baseline,0,Phase 1,0.7311306336865171,0.9580280047402916,0.2778163735022166,0.7555107495343644,0.0,0.0,0.4533142601843005
densenet121,DenseNet-121,phase1_plus_2,1,Phase 1+2,0.7598242873437256,0.963576233604662,0.5357383649689692,0.8633308328367333,0.02869365365720855,0.2579219914667526,0.22408592237475644
densenet121,DenseNet-121,phase1_plus_2_plus_3,2,Phase 1+2+3,0.7803866198962675,0.9696207494633086,0.4979698957985104,0.8588323592019165,0.04925598620975036,0.2201535222962938,0.28241672409775703
densenet121,DenseNet-121,phase1_plus_2_plus_3_plus_4,3,Phase 1+2+3+4,0.8057627502039493,0.964058736968342,0.5603778674182103,0.8521722830131757,0.07463211651743218,0.28256149391599367,0.245384882785739
efficientnet_b0,EfficientNet-B0,baseline,0,Phase 1,0.7753905706565523,0.9573325954393932,0.2614441895968405,0.6661770236502786,0.0,0.0,0.5139463810597118
efficientnet_b0,EfficientNet-B0,phase1_plus_2,1,Phase 1+2,0.8145076151046625,0.9715195957948376,0.5621495276692806,0.87806618806381,0.03911704444811026,0.3007053380724401,0.2523580874353819
efficientnet_b0,EfficientNet-B0,phase1_plus_2_plus_3,2,Phase 1+2+3,0.7961637718233937,0.9738589390232596,0.546435822650152,0.8673956125848933,0.02077320116684145,0.2849916330533115,0.2497279491732417
efficientnet_b0,EfficientNet-B0,phase1_plus_2_plus_3_plus_4,3,Phase 1+2+3+4,0.8240132472200102,0.97234188508115,0.5684715929301601,0.8799066259048001,0.04862267656345798,0.3070274033333196,0.2555416542898501
resnet50,ResNet-50,baseline,0,Phase 1,0.7426294014147343,0.957866202280508,0.2636718992806761,0.6618917454830857,0.0,0.0,0.47895750213405824
resnet50,ResNet-50,phase1_plus_2,1,Phase 1+2,0.7789074565740313,0.965711441228376,0.5096605782754907,0.8658192661966795,0.03627805515929694,0.24598867899481464,0.26924687829854055
resnet50,ResNet-50,phase1_plus_2_plus_3,2,Phase 1+2+3,0.7935733308904878,0.9703113470769168,0.5480169869618807,0.865532007641101,0.050943929475753436,0.28434508768120464,0.24555634392860703
resnet50,ResNet-50,phase1_plus_2_plus_3_plus_4,3,Phase 1+2+3+4,0.8108754811948663,0.967935780256099,0.5264961328342829,0.8543231080921233,0.06824607978013197,0.2628242335536068,0.28437934836058343
